Season,Game,Month,Days Rest,Age,Team,Home(0)/Away(1),Opp,Score Diff,Minutes,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,10PT BCKT,GmSc,PlusMinus,Month Mappings,Month Mappings,Team Mappings,Team Mappings
1,1,1.00,7,18,1,1,1,-14,1.78,12,20,0.6,0,2,0,1,3,0.33,2,4,6,9,4,0,2,3,25,2,24.7,-9,October,1.00,1,SAC
1,2,1.00,1,18,1,1,2,-9,1.68,8,17,0.47,1,5,0.2,4,7,0.57,2,10,12,8,1,0,7,1,21,2,14.7,-3,November,2.00,2,PHO
1,3,2.00,2,18,1,1,3,-19,1.63,3,12,0.25,0,1,0,2,2,1,0,4,4,6,2,0,2,3,8,0,5,-21,December,3.00,3,POR
1,4,2.00,4,18,1,0,4,-4,1.71,3,11,0.27,0,2,0,1,1,1,2,9,11,7,2,3,2,1,7,0,11.2,-3,January,4.00,4,DEN
1,5,2.00,2,18,1,1,5,-1,1.82,8,18,0.44,1,2,0.5,6,7,0.86,0,5,5,3,0,0,7,2,23,2,9,-7,February,5.00,5,IND
1,6,2.00,1,18,1,0,6,13,1.85,8,19,0.42,0,0,0,1,4,0.25,5,3,8,9,1,1,2,1,17,1,15.7,14,March,6.00,6,WAS
1,7,2.00,2,18,1,0,7,14,1.4,7,12,0.58,3,3,1,0,0,0,1,4,5,4,1,1,2,0,17,1,15.8,20,April,7.00,7,NYK
1,8,2.00,2,18,1,1,8,-5,1.78,6,15,0.4,2,5,0.4,4,6,0.67,1,2,3,7,2,1,4,3,18,1,12.8,-4,July,8.00,8,MIA
1,9,2.00,2,18,1,1,9,-9,1.48,3,12,0.25,2,4,0.5,2,4,0.5,1,4,5,3,0,0,4,3,10,1,0.8,-1,August,9.00,9,BOS
1,10,2.00,1,18,1,0,10,3,1.96,10,19,0.53,0,1,0,2,4,0.5,0,5,5,8,1,2,5,2,22,2,15.6,8,,,10,PHI
1,11,2.00,3,18,1,0,11,8,1.64,6,16,0.38,0,2,0,2,4,0.5,2,5,7,8,0,1,3,2,14,1,9.8,1,,,11,LAC
1,12,2.00,1,18,1,1,6,-11,1.63,10,18,0.56,2,4,0.5,6,8,0.75,2,5,7,8,2,1,4,2,28,2,25,-5,,,12,MIN
1,13,2.00,2,18,1,0,12,-14,1.47,8,19,0.42,0,2,0,3,3,1,2,7,9,2,1,0,1,4,19,1,12.2,-5,,,13,ATL
1,14,2.00,1,18,1,1,13,-9,1.76,3,16,0.19,0,1,0,9,10,0.9,2,4,6,4,2,1,3,1,15,1,9.3,-6,,,14,NOH
1,15,2.00,4,18,1,1,14,-10,1.62,5,17,0.29,1,4,0.25,4,4,1,2,6,8,9,0,0,4,1,15,1,10.2,-13,,,15,DET
1,16,2.00,2,18,1,1,15,-4,1.52,2,8,0.25,0,2,0,2,3,0.67,0,2,2,7,0,0,4,3,6,0,1.1,-10,,,16,MEM
1,17,2.00,1,18,1,0,16,-7,2.28,14,28,0.5,3,6,0.5,2,3,0.67,2,14,16,7,1,1,8,1,33,3,22.4,-10,,,17,TOR
1,18,3.00,3,18,1,1,4,-12,1.35,6,19,0.32,2,3,0.67,5,7,0.71,3,3,6,5,2,0,2,4,19,1,12.2,-12,,,18,HOU
1,19,3.00,1,18,1,1,11,-10,1.42,2,13,0.15,0,3,0,0,0,0,4,2,6,8,2,0,5,2,4,0,0.9,3,,,19,CHI
1,20,3.00,3,18,1,0,13,10,1.5,4,12,0.33,0,2,0,0,0,0,1,5,6,5,2,1,3,2,8,0,5.8,-5,,,20,ORL
1,21,3.00,3,18,1,0,17,-7,1.54,7,16,0.44,0,0,0,4,4,1,0,5,5,3,1,0,2,2,18,1,11.4,-2,,,21,NJN
1,22,3.00,2,18,1,0,15,9,1.78,8,21,0.38,1,3,0.33,6,8,0.75,1,2,3,9,1,1,4,3,23,2,14.8,9,,,22,LAL
1,23,3.00,2,18,1,0,9,-7,1.89,10,20,0.5,1,5,0.2,16,18,0.89,1,2,3,4,0,0,2,2,37,3,27.5,-2,,,23,SEA
1,24,3.00,2,18,1,1,5,-10,1.82,10,16,0.63,0,3,0,7,8,0.88,1,3,4,6,3,3,6,1,27,2,23.9,-12,,,24,GSW
1,25,3.00,2,18,1,0,18,-4,1.5,7,19,0.37,2,4,0.5,1,2,0.5,0,1,1,3,0,0,2,2,17,1,5.7,-9,,,25,UTA
1,26,3.00,2,18,1,1,10,7,1.74,14,24,0.58,5,7,0.71,3,3,1,1,3,4,5,4,0,4,1,36,3,29.5,9,,,26,MIL
1,27,3.00,1,18,1,1,19,8,1.74,11,22,0.5,0,5,0,10,12,0.83,1,5,6,10,2,2,4,2,32,3,28,9,,,27,DAL
1,28,3.00,3,18,1,0,14,11,1.63,7,22,0.32,1,6,0.17,7,8,0.88,2,4,6,2,6,1,5,1,22,2,14.3,9,,,28,SAS
1,29,3.00,2,18,1,1,20,-12,1.96,13,28,0.46,4,10,0.4,4,5,0.8,1,1,2,6,2,1,8,0,34,3,19.1,-9,,,29,CHA
1,30,3.00,1,18,1,0,19,-7,1.43,7,24,0.29,1,4,0.25,3,4,0.75,1,2,3,4,1,2,5,0,18,1,5.1,-12,,,30,NOK
1,31,3.00,2,18,1,0,3,12,1.63,15,23,0.65,0,2,0,2,2,1,3,7,10,9,3,0,5,1,32,3,30,11,,,31,OKC
1,32,3.00,2,19,1,0,5,-3,1.59,9,20,0.45,0,4,0,4,6,0.67,2,8,10,4,0,0,4,2,22,2,12.6,-2,,,32,CLE
1,33,4.00,3,19,1,1,21,-15,1.5,6,19,0.32,0,4,0,2,4,0.5,1,3,4,9,1,0,3,2,14,1,7.4,-14,,,33,BRK
1,34,4.00,4,19,1,0,7,11,1.73,6,17,0.35,0,2,0,2,2,1,0,4,4,10,1,1,4,1,14,1,10,10,,,34,NOP
1,35,4.00,1,19,1,1,17,-6,1.59,10,23,0.44,0,3,0,1,2,0.5,0,2,2,5,0,0,2,3,21,2,9.4,-2,,,35,CHO
1,36,4.00,2,19,1,1,9,-25,1.76,7,19,0.37,0,3,0,5,7,0.71,0,3,3,6,3,0,5,1,19,1,10.4,-30,,,,
1,37,4.00,3,19,1,1,22,-10,1.52,6,20,0.3,0,3,0,4,5,0.8,1,4,5,7,1,1,6,3,16,1,5.3,3,,,,
1,38,4.00,1,19,1,1,23,8,1.83,11,26,0.42,0,1,0,5,6,0.83,4,5,9,9,2,0,4,2,27,2,20.6,11,,,,
1,39,4.00,2,19,1,1,24,-17,1.81,8,21,0.38,2,5,0.4,11,13,0.85,2,4,6,6,3,0,2,0,29,2,24.5,-14,,,,
1,40,4.00,2,19,1,1,25,6,1.85,12,28,0.43,2,4,0.5,3,5,0.6,1,6,7,2,2,1,4,2,29,2,15.2,8,,,,
1,41,4.00,3,19,1,0,23,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1,42,4.00,5,19,1,0,1,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1,43,4.00,7,19,1,0,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1,44,4.00,9,19,1,0,20,1,1.25,7,19,0.37,1,2,0.5,1,2,0.5,0,5,5,3,0,2,3,4,16,1,5.5,-10,,,,
1,45,4.00,2,19,1,0,8,1,1.85,10,25,0.4,0,1,0,7,10,0.7,0,5,5,4,2,1,1,1,27,2,17.9,2,,,,
1,46,4.00,2,19,1,1,26,-6,1.55,7,25,0.28,1,6,0.17,5,8,0.63,2,6,8,3,1,0,5,5,20,2,3.4,3,,,,
1,47,5.00,2,19,1,1,6,4,1.81,14,27,0.52,1,2,0.5,9,11,0.82,3,3,6,4,0,2,6,4,38,3,23.5,0,,,,
1,48,5.00,2,19,1,1,15,3,1.59,5,19,0.26,0,1,0,2,2,1,1,3,4,6,2,0,1,2,12,1,6.7,-1,,,,
1,49,5.00,1,19,1,0,22,-5,1.8,12,26,0.46,4,4,1,4,5,0.8,0,4,4,4,0,0,0,0,32,3,22.2,-2,,,,
1,50,5.00,2,19,1,1,12,-11,1.86,6,18,0.33,1,3,0.33,1,4,0.25,1,8,9,5,0,0,3,2,14,1,5.4,-16,,,,
1,51,5.00,1,19,1,0,6,-18,1.42,6,16,0.38,0,0,0,2,2,1,0,0,0,6,4,1,3,2,14,1,10.3,-24,,,,
1,52,5.00,2,19,1,0,9,8,1.8,9,25,0.36,1,6,0.17,5,6,0.83,0,6,6,3,2,1,1,3,24,2,14.1,19,,,,
1,53,5.00,2,19,1,0,21,-20,1.23,2,13,0.15,0,1,0,5,5,1,1,1,2,5,1,0,5,0,9,0,1.2,-12,,,,
1,54,5.00,7,19,1,0,27,-16,1.4,6,12,0.5,0,0,0,4,4,1,2,2,4,9,0,1,5,2,16,1,13.2,-15,,,,
1,55,5.00,2,19,1,0,28,2,1.65,14,23,0.61,0,0,0,4,4,1,2,9,11,2,2,1,2,0,32,3,27.7,3,,,,
1,56,5.00,2,19,1,1,7,6,1.82,7,20,0.35,0,0,0,8,12,0.67,1,4,5,3,1,0,1,2,22,2,12.4,11,,,,
1,57,5.00,1,19,1,0,14,4,1.53,7,16,0.44,1,5,0.2,6,6,1,0,4,4,6,2,5,1,3,21,2,21.3,4,,,,
1,58,5.00,2,19,1,1,18,-6,1.61,5,18,0.28,0,2,0,1,3,0.33,2,5,7,5,2,1,2,1,11,1,6.3,-5,,,,
1,59,5.00,2,19,1,1,20,5,2.05,11,19,0.58,1,1,1,7,8,0.88,1,10,11,3,3,1,5,1,30,3,24.8,7,,,,
1,60,6.00,3,19,1,1,19,-11,1.7,7,17,0.41,0,2,0,4,6,0.67,0,3,3,3,4,1,3,2,18,1,12,-4,,,,
1,61,6.00,2,19,1,0,13,32,1.15,9,17,0.53,1,2,0.5,5,6,0.83,1,6,7,3,1,1,1,0,24,2,20.6,22,,,,
1,62,6.00,2,19,1,1,14,3,1.57,7,17,0.41,2,2,1,3,4,0.75,2,4,6,4,2,0,4,5,19,1,10.9,1,,,,
1,63,6.00,1,19,1,0,26,9,1.78,11,24,0.46,0,3,0,2,3,0.67,2,5,7,10,4,1,2,3,24,2,22.6,9,,,,
1,64,6.00,2,19,1,1,13,6,1.88,11,23,0.48,1,4,0.25,11,13,0.85,2,4,6,7,1,0,2,1,34,3,27.6,11,,,,
1,65,6.00,2,19,1,1,17,14,1.41,4,13,0.31,0,0,0,6,7,0.86,1,2,3,4,1,0,2,2,14,1,8.4,16,,,,
1,66,6.00,4,19,1,0,5,3,1.84,12,22,0.55,0,2,0,2,4,0.5,0,3,3,4,3,1,4,3,26,2,16.8,5,,,,
1,67,6.00,2,19,1,0,19,24,1.34,5,16,0.31,2,3,0.67,5,8,0.63,3,2,5,8,0,5,4,1,17,1,14,24,,,,
1,68,6.00,3,19,1,0,25,-9,1.43,4,14,0.29,0,2,0,6,10,0.6,0,0,0,7,2,1,2,3,14,1,8.6,-2,,,,
1,69,6.00,2,19,1,0,15,-20,1.53,5,17,0.29,1,4,0.25,4,5,0.8,2,5,7,3,0,2,4,4,15,1,5.5,-21,,,,
1,70,6.00,2,19,1,0,2,-17,1.71,8,21,0.38,2,5,0.4,7,9,0.78,1,1,2,6,3,1,5,0,25,2,16.6,-12,,,,
1,71,6.00,3,19,1,1,10,-15,1.37,5,13,0.39,1,2,0.5,5,9,0.56,2,1,3,7,0,1,5,1,16,1,9.2,-24,,,,
1,72,6.00,1,19,1,0,21,3,1.83,15,29,0.52,1,2,0.5,10,10,1,2,4,6,13,3,0,2,1,41,4,39,10,,,,
1,73,6.00,2,19,1,1,28,-8,1.32,9,20,0.45,0,1,0,0,0,0,0,2,2,4,0,1,2,0,18,1,9.7,-14,,,,
1,74,6.00,1,19,1,1,27,-17,1.75,13,22,0.59,0,2,0,2,4,0.5,1,4,5,6,4,0,3,2,28,2,23.3,-10,,,,
1,75,7.00,3,19,1,1,26,-18,1.53,9,19,0.47,0,0,0,2,2,1,0,7,7,7,5,0,5,3,20,2,16.1,-13,,,,
1,76,7.00,1,19,1,0,24,-3,1.93,12,28,0.43,3,5,0.6,7,11,0.64,3,5,8,10,1,1,3,1,34,3,26.5,-3,,,,
1,77,7.00,3,19,1,0,17,-1,1.92,5,17,0.29,0,0,0,11,14,0.79,1,5,6,4,3,0,3,2,21,2,14.1,2,,,,
1,78,7.00,1,19,1,1,16,-18,1.52,4,11,0.36,0,0,0,6,7,0.86,0,3,3,5,3,0,2,4,14,1,11.3,-11,,,,
1,79,7.00,2,19,1,1,8,-15,1.76,6,14,0.43,1,1,1,11,15,0.73,1,6,7,8,1,0,8,2,24,2,15.3,-16,,,,
1,80,7.00,1,19,1,0,8,11,1.32,4,11,0.36,0,2,0,2,5,0.4,1,2,3,11,0,0,2,3,10,1,8.5,14,,,,
1,81,7.00,2,19,1,0,26,4,1.89,9,20,0.45,1,4,0.25,8,11,0.73,1,6,7,9,2,0,1,1,27,2,24.8,11,,,,
1,82,7.00,2,19,1,1,7,10,1.46,8,17,0.47,0,3,0,1,1,1,0,1,1,5,3,0,5,1,17,1,9.7,-6,,,,
2,1,2.00,7,19,1,0,5,-5,2.12,8,19,0.42,2,5,0.4,10,12,0.83,1,4,5,8,1,3,6,2,28,2,20.9,-10,,,,
2,2,2.00,1,19,1,1,8,-6,1.76,9,22,0.41,2,3,0.67,1,1,1,3,3,6,8,1,0,1,0,21,2,17.8,-8,,,,
2,3,2.00,2,19,1,1,26,-14,1.75,8,20,0.4,0,3,0,15,22,0.68,2,6,8,6,3,0,4,0,31,3,23.8,-12,,,,
2,4,2.00,3,19,1,1,13,14,2,8,17,0.47,1,4,0.25,8,12,0.67,1,9,10,4,4,2,3,2,25,2,22.5,14,,,,
2,5,2.00,1,19,1,0,2,5,2.01,13,24,0.54,1,2,0.5,11,12,0.92,3,7,10,6,3,3,3,1,38,3,36.1,14,,,,
2,6,2.00,3,19,1,0,6,31,1.56,10,20,0.5,0,3,0,4,5,0.8,1,8,9,4,3,2,4,0,24,2,19.9,25,,,,
2,7,2.00,2,19,1,0,24,11,1.75,12,22,0.55,3,5,0.6,6,8,0.75,2,10,12,4,2,1,1,1,33,3,30.1,15,,,,
2,8,2.00,3,19,1,1,29,17,1.21,8,14,0.57,2,3,0.67,1,2,0.5,1,5,6,9,0,0,1,3,19,1,18.3,21,,,,
2,9,2.00,2,19,1,0,29,16,1.58,11,20,0.55,0,2,0,3,4,0.75,5,3,8,2,3,1,7,0,25,2,17.5,24,,,,
2,10,2.00,1,19,1,1,7,-10,1.7,5,15,0.33,1,3,0.33,2,3,0.67,2,7,9,10,1,1,5,3,13,1,10.1,1,,,,
2,11,2.00,3,19,1,0,15,16,1.56,15,22,0.68,2,3,0.67,11,12,0.92,3,3,6,5,3,1,3,3,43,4,39.2,12,,,,
2,12,2.00,2,19,1,1,9,2,1.78,9,13,0.69,0,2,0,2,3,0.67,0,6,6,8,3,1,2,2,20,2,22.4,6,,,,
2,13,2.00,1,19,1,0,19,22,1.33,11,17,0.65,1,2,0.5,3,4,0.75,1,6,7,7,1,0,2,0,26,2,24.5,25,,,,
2,14,2.00,2,19,1,1,11,-12,1.76,9,19,0.47,0,2,0,4,5,0.8,1,6,7,5,6,1,3,2,22,2,20.8,-16,,,,
2,15,3.00,2,19,1,1,2,-19,1.7,6,19,0.32,0,2,0,3,4,0.75,1,2,3,6,2,1,6,2,15,1,5.1,-17,,,,
2,16,3.00,1,19,1,1,4,19,1.72,8,17,0.47,0,0,0,1,2,0.5,1,7,8,9,2,1,5,3,17,1,13.5,23,,,,
2,17,3.00,2,19,1,0,17,8,1.78,10,17,0.59,1,3,0.33,6,7,0.86,0,6,6,10,2,1,3,2,27,2,26.4,15,,,,
2,18,3.00,3,19,1,0,21,6,1.92,11,22,0.5,0,1,0,5,6,0.83,0,2,2,8,3,0,3,4,27,2,20.2,6,,,,
2,19,3.00,1,19,1,1,19,-28,1.55,5,15,0.33,0,2,0,9,12,0.75,0,2,2,6,1,1,4,2,19,1,11,-22,,,,
2,20,3.00,3,19,1,1,28,-19,1.72,10,19,0.53,1,3,0.33,2,2,1,3,3,6,10,4,0,3,2,23,2,23.9,-18,,,,
2,21,3.00,2,19,1,1,16,6,1.91,14,22,0.64,1,3,0.33,2,4,0.5,0,5,5,8,7,0,3,2,31,3,30.7,10,,,,
2,22,3.00,2,19,1,0,3,24,1.55,10,18,0.56,2,3,0.67,3,3,1,2,9,11,7,3,2,3,1,25,2,26.4,18,,,,
2,23,3.00,1,19,1,1,15,-12,1.88,4,21,0.19,0,2,0,3,5,0.6,1,8,9,7,4,1,3,2,11,1,6,-8,,,,
2,24,3.00,2,19,1,0,9,-7,1.69,12,25,0.48,3,5,0.6,4,8,0.5,1,4,5,4,3,1,4,6,31,3,18.7,-1,,,,
2,25,3.00,3,19,1,0,12,10,1.8,10,18,0.56,0,1,0,6,8,0.75,0,6,6,12,1,0,2,2,26,2,25,13,,,,
2,26,3.00,1,19,1,1,21,-2,1.78,7,18,0.39,1,1,1,8,10,0.8,1,8,9,9,1,0,4,2,23,2,18,-3,,,,
2,27,3.00,4,19,1,0,14,9,1.86,7,16,0.44,0,1,0,8,9,0.89,1,8,9,14,4,1,5,2,22,2,25,8,,,,
2,28,3.00,2,19,1,1,13,9,1.93,13,25,0.52,3,5,0.6,11,14,0.79,1,8,9,7,1,0,1,2,40,4,33.7,8,,,,
2,29,3.00,1,20,1,0,18,-11,0.72,0,5,0,0,1,0,3,5,0.6,0,3,3,5,0,0,0,0,3,0,3.1,-10,,,,
2,30,4.00,5,20,1,1,29,11,1.68,11,19,0.58,0,3,0,4,6,0.67,2,6,8,6,2,0,1,3,26,2,23.5,14,,,,
2,31,4.00,2,20,1,0,13,16,1.65,7,14,0.5,2,5,0.4,4,6,0.67,1,5,6,9,1,1,2,4,20,2,18.8,10,,,,
2,32,4.00,3,20,1,0,7,25,1.36,10,14,0.71,0,0,0,2,2,1,1,2,3,4,0,2,8,2,22,2,12.9,5,,,,
2,33,4.00,3,20,1,0,29,2,2.04,11,24,0.46,2,5,0.4,5,7,0.71,1,7,8,9,2,1,8,1,29,2,19.2,7,,,,
2,34,4.00,2,20,1,1,22,-4,1.85,12,26,0.46,1,4,0.25,3,4,0.75,3,10,13,9,1,1,4,1,28,2,22.9,-1,,,,
2,35,4.00,2,20,1,1,25,13,1.72,9,20,0.45,0,1,0,9,14,0.64,1,7,8,5,5,0,3,2,27,2,22.1,11,,,,
2,36,4.00,1,20,1,1,23,-8,1.84,14,30,0.47,3,7,0.43,4,6,0.67,2,3,5,11,4,1,1,4,35,3,30.9,-7,,,,
2,37,4.00,3,20,1,1,3,6,1.82,11,16,0.69,1,1,1,4,6,0.67,1,10,11,10,4,0,2,4,27,2,30.5,0,,,,
