Season,Game,Month,Days Rest,Age,Team,Home(0)/Away(1),Opp,Opp W,Opp L,Opp Finish,Opp Avg Age,Opp Avg DRB,Opp Avg STL,Opp Avg BLK,Opp Avg TOV,Opp Avg PF,Opp Avg FG Conc,Opp Avg FGA Conc,Opp Avg FGperc Conc,Opp Avg 3P Conc,Opp Avg 3PA Conc,Opp Avg 3Pperc Conc,Opp Avg 2P Conc,Opp Avg 2PA Conc,Opp Avg 2Pperc Conc,Opp Avg FT Conc,Opp Avg FTA Conc,Opp Avg FTperc Conc,Opp Avg ORB Conc,Opp Avg AST Conc,Opp Avg STL Conc,Opp Avg TOV Forced,Opp Avg PF Conc,Opp Avg PTS Conc,Score Diff,Minutes,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS form,PTS,10PT BCKT,GmSc,PlusMinus
1,1,1,7,18,1,1,1,55,27,2,29.3,30.4,8.7,4,13.9,19.3,38.3,84.4,0.454,5,14.7,0.339,33.3,69.7,0.478,16.3,21.7,0.749,13.2,21.3,7.9,14.9,22.2,97.8,-14,1.78,12,20,0.6,0,2,0,1,3,0.33,2,4,6,9,4,0,2,3,0,25,2,24.7,-9
1,2,1,1,18,1,1,2,29,53,6,24.4,29.3,9,4.7,15.2,22.7,36.3,81.4,0.446,5.8,16.8,0.349,30.4,64.6,0.471,19.5,25.5,0.765,12.7,21.5,7.9,15.9,19.4,97.9,-9,1.68,8,17,0.47,1,5,0.2,4,7,0.57,2,10,12,8,1,0,7,1,25,21,2,14.7,-3
1,3,2,2,18,1,1,3,41,41,3,27.6,29,7.5,5.4,14.8,19,36,80.1,0.45,5.1,14.9,0.341,30.9,65.2,0.475,14.9,19.7,0.753,12.4,23.3,8,13.7,18.7,92,-19,1.63,3,12,0.25,0,1,0,2,2,1,0,4,4,6,2,0,2,3,23,8,0,5,-21
1,4,2,4,18,1,0,4,43,39,6,25.6,29.1,9.1,6.3,15.6,22,36.8,81.2,0.453,4.6,12.9,0.356,32.2,68.4,0.471,17.9,24.6,0.728,12.9,23.5,8.1,17.1,23.1,96.1,-4,1.71,3,11,0.27,0,2,0,1,1,1,2,9,11,7,2,3,2,1,18,7,0,11.2,-3
1,5,2,2,18,1,1,5,61,21,1,27.1,29.9,8.9,5,14.4,20.8,32.6,75.4,0.432,4,12.4,0.324,28.6,63,0.453,16.5,22,0.75,10.6,20.1,7.1,15.9,21.9,85.6,-1,1.82,8,18,0.44,1,2,0.5,6,7,0.86,0,5,5,3,0,0,7,2,15.25,23,2,9,-7
1,6,2,1,18,1,0,6,25,57,6,24.4,29.2,8.9,5,17.5,20.9,37.3,82.2,0.454,5.2,15.1,0.342,32.2,67.1,0.479,17.6,22.9,0.771,12.8,24,9.6,16.1,21.7,97.4,13,1.85,8,19,0.42,0,0,0,1,4,0.25,5,3,8,9,1,1,2,1,16.8,17,1,15.7,14
1,7,2,2,18,1,0,7,39,43,3,29.6,31,7.4,4.8,15.7,23.1,34,79.2,0.429,5.1,15,0.338,28.9,64.2,0.45,20.5,26.8,0.763,11.6,20.4,8.2,13.8,19.5,93.5,14,1.4,7,12,0.58,3,3,1,0,0,0,1,4,5,4,1,1,2,0,15.2,17,1,15.8,20
1,8,2,2,18,1,1,8,42,40,2,26.4,30,7.2,3.8,13.9,22.1,32.4,75.7,0.428,5.3,15.3,0.343,27.2,60.4,0.45,19.7,25.6,0.768,10.9,18.6,7,14.7,21.1,89.7,-5,1.78,6,15,0.4,2,5,0.4,4,6,0.67,1,2,3,7,2,1,4,3,14.4,18,1,12.8,-4
1,9,2,2,18,1,1,9,36,46,4,26.4,29.8,9.4,4,16.2,22.4,35.3,80.8,0.437,6.8,18.7,0.362,28.5,62.1,0.459,19.4,26.3,0.736,13,23,8.8,17.1,22.2,96.7,-9,1.48,3,12,0.25,2,4,0.5,2,4,0.5,1,4,5,3,0,0,4,3,16.4,10,1,0.8,-1
1,10,2,1,18,1,0,10,33,49,5,27.5,29.4,8,4.4,15.9,20.7,33.5,77.7,0.432,5.4,16.2,0.333,28.1,61.5,0.458,18,24.2,0.744,12.1,21.3,8.3,15.2,21.4,90.5,3,1.96,10,19,0.53,0,1,0,2,4,0.5,0,5,5,8,1,2,5,2,17,22,2,15.6,8
1,11,2,3,18,1,0,11,28,54,7,24.3,29.5,7.2,4.6,16.4,22.1,37.5,81.5,0.46,5.5,15.3,0.36,32,66.2,0.483,18.8,25.4,0.741,12.6,22.9,8.5,13.7,22.7,99.4,8,1.64,6,16,0.38,0,2,0,2,4,0.5,2,5,7,8,0,1,3,2,16.8,14,1,9.8,1
1,12,2,1,18,1,1,6,25,57,6,24.4,29.2,8.9,5,17.5,20.9,37.3,82.2,0.454,5.2,15.1,0.342,32.2,67.1,0.479,17.6,22.9,0.771,12.8,24,9.6,16.1,21.7,97.4,-11,1.63,10,18,0.56,2,4,0.5,6,8,0.75,2,5,7,8,2,1,4,2,16.2,28,2,25,-5
1,13,2,2,18,1,0,12,58,24,1,29.7,32.3,6.8,5.6,12.7,21.1,33.4,80.8,0.414,4.8,14.4,0.334,28.6,66.4,0.431,17.4,23.1,0.753,12.2,20.7,6.7,13.5,20.2,89.1,-14,1.47,8,19,0.42,0,2,0,3,3,1,2,7,9,2,1,0,1,4,18.4,19,1,12.2,-5
1,14,2,1,18,1,1,13,28,54,7,26.2,30.6,7.6,5,16.5,22.3,36.2,82.2,0.44,5.9,16.4,0.358,30.3,65.8,0.461,19.2,25.3,0.76,12.8,22,8.9,14,20.7,97.5,-9,1.76,3,16,0.19,0,1,0,9,10,0.9,2,4,6,4,2,1,3,1,18.6,15,1,9.3,-6
1,15,2,4,18,1,1,14,41,41,3,30.3,29.5,8.6,4.2,15,20.9,34.7,78.6,0.441,5.4,15.9,0.341,29.3,62.7,0.467,17.2,22.9,0.75,11.9,21.8,7.5,15.6,21.1,91.9,-10,1.62,5,17,0.29,1,4,0.25,4,4,1,2,6,8,9,0,0,4,1,19.6,15,1,10.2,-13
1,16,2,2,18,1,1,15,54,28,2,27.4,30.4,8,7,15.1,20.3,32.1,77.8,0.413,4.3,14.4,0.302,27.8,63.4,0.438,15.7,21.1,0.744,12,19,7.9,16,22.9,84.3,-4,1.52,2,8,0.25,0,2,0,2,3,0.67,0,2,2,7,0,0,4,3,18.2,6,0,1.1,-10
1,17,2,1,18,1,0,16,50,32,4,26,29,9.7,6.9,15,23.2,34.9,79.9,0.436,4.5,13.3,0.338,30.4,66.6,0.456,20,26.2,0.764,13.4,20.4,8.2,17,23.1,94.3,-7,2.28,14,28,0.5,3,6,0.5,2,3,0.67,2,14,16,7,1,1,8,1,16.6,33,3,22.4,-10
1,18,3,3,18,1,1,4,43,39,6,25.6,29.1,9.1,6.3,15.6,22,36.8,81.2,0.453,4.6,12.9,0.356,32.2,68.4,0.471,17.9,24.6,0.728,12.9,23.5,8.1,17.1,23.1,96.1,-12,1.35,6,19,0.32,2,3,0.67,5,7,0.71,3,3,6,5,2,0,2,4,17.6,19,1,12.2,-12
1,19,3,1,18,1,1,11,28,54,7,24.3,29.5,7.2,4.6,16.4,22.1,37.5,81.5,0.46,5.5,15.3,0.36,32,66.2,0.483,18.8,25.4,0.741,12.6,22.9,8.5,13.7,22.7,99.4,-10,1.42,2,13,0.15,0,3,0,0,0,0,4,2,6,8,2,0,5,2,17.6,4,0,0.9,3
1,20,3,3,18,1,0,13,28,54,7,26.2,30.6,7.6,5,16.5,22.3,36.2,82.2,0.44,5.9,16.4,0.358,30.3,65.8,0.461,19.2,25.3,0.76,12.8,22,8.9,14,20.7,97.5,10,1.5,4,12,0.33,0,2,0,0,0,0,1,5,6,5,2,1,3,2,15.4,8,0,5.8,-5
1,21,3,3,18,1,0,17,33,49,6,27.6,29.5,7.4,4.9,14.2,21.3,33.2,77.6,0.428,3.3,10.8,0.307,29.9,66.8,0.447,18.7,25.1,0.747,12.6,18.5,7.2,14.6,19.7,88.5,-7,1.54,7,16,0.44,0,0,0,4,4,1,0,5,5,3,1,0,2,2,14,18,1,11.4,-2
1,22,3,2,18,1,0,15,54,28,2,27.4,30.4,8,7,15.1,20.3,32.1,77.8,0.413,4.3,14.4,0.302,27.8,63.4,0.438,15.7,21.1,0.744,12,19,7.9,16,22.9,84.3,9,1.78,8,21,0.38,1,3,0.33,6,8,0.75,1,2,3,9,1,1,4,3,16.4,23,2,14.8,9
1,23,3,2,18,1,0,9,36,46,4,26.4,29.8,9.4,4,16.2,22.4,35.3,80.8,0.437,6.8,18.7,0.362,28.5,62.1,0.459,19.4,26.3,0.736,13,23,8.8,17.1,22.2,96.7,-7,1.89,10,20,0.5,1,5,0.2,16,18,0.89,1,2,3,4,0,0,2,2,14.4,37,3,27.5,-2
1,24,3,2,18,1,1,5,61,21,1,27.1,29.9,8.9,5,14.4,20.8,32.6,75.4,0.432,4,12.4,0.324,28.6,63,0.453,16.5,22,0.75,10.6,20.1,7.1,15.9,21.9,85.6,-10,1.82,10,16,0.63,0,3,0,7,8,0.88,1,3,4,6,3,3,6,1,18,27,2,23.9,-12
1,25,3,2,18,1,0,18,45,37,5,28.3,32.3,6.8,5.4,16.7,21.5,32.1,78.1,0.412,5.6,15,0.372,26.6,63.1,0.421,18.2,24.7,0.737,11.1,20.6,8.7,13.5,20.7,88,-4,1.5,7,19,0.37,2,4,0.5,1,2,0.5,0,1,1,3,0,0,2,2,22.6,17,1,5.7,-9
1,26,3,2,18,1,1,10,33,49,5,27.5,29.4,8,4.4,15.9,20.7,33.5,77.7,0.432,5.4,16.2,0.333,28.1,61.5,0.458,18,24.2,0.744,12.1,21.3,8.3,15.2,21.4,90.5,7,1.74,14,24,0.58,5,7,0.71,3,3,1,1,3,4,5,4,0,4,1,24.4,36,3,29.5,9
1,27,3,1,18,1,1,19,23,59,8,26.8,30.7,8,4.8,16.1,23.3,35.1,80.6,0.436,5.4,15.1,0.355,29.8,65.6,0.454,20.4,27.3,0.748,12.3,23,8.5,15.2,20.5,96,8,1.74,11,22,0.5,0,5,0,10,12,0.83,1,5,6,10,2,2,4,2,28,32,3,28,9
1,28,3,3,18,1,0,14,41,41,3,30.3,29.5,8.6,4.2,15,20.9,34.7,78.6,0.441,5.4,15.9,0.341,29.3,62.7,0.467,17.2,22.9,0.75,11.9,21.8,7.5,15.6,21.1,91.9,11,1.63,7,22,0.32,1,6,0.17,7,8,0.88,2,4,6,2,6,1,5,1,29.8,22,2,14.3,9
1,29,3,2,18,1,1,20,21,61,7,25.8,28.7,6.7,3.8,13.7,21.3,38.6,83,0.466,6,15.9,0.377,32.7,67.1,0.487,17.8,24,0.742,13.1,24.4,7.6,13.5,20.6,101.1,-12,1.96,13,28,0.46,4,10,0.4,4,5,0.8,1,1,2,6,2,1,8,0,26.8,34,3,19.1,-9
1,30,3,1,18,1,0,19,23,59,8,26.8,30.7,8,4.8,16.1,23.3,35.1,80.6,0.436,5.4,15.1,0.355,29.8,65.6,0.454,20.4,27.3,0.748,12.3,23,8.5,15.2,20.5,96,-7,1.43,7,24,0.29,1,4,0.25,3,4,0.75,1,2,3,4,1,2,5,0,28.2,18,1,5.1,-12
