Season,Game #,Date,Days Rest,Days Old,Opp,Score Diff,Played?,Minutes,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1.00,1.00,37923.00,7.00,6873.00,1.00,-14.00,1.00,1.78,2.00,4.00,6.00,9.00,4.00,0.00,2.00,3.00,25.00
1.00,2.00,37924.00,1.00,6874.00,2.00,-9.00,1.00,1.68,2.00,10.00,12.00,8.00,1.00,0.00,7.00,1.00,21.00
1.00,3.00,37926.00,2.00,6876.00,3.00,-19.00,1.00,1.63,0.00,4.00,4.00,6.00,2.00,0.00,2.00,3.00,8.00
1.00,4.00,37930.00,4.00,6880.00,4.00,-4.00,1.00,1.71,2.00,9.00,11.00,7.00,2.00,3.00,2.00,1.00,7.00
1.00,5.00,37932.00,2.00,6882.00,5.00,-1.00,1.00,1.82,0.00,5.00,5.00,3.00,0.00,0.00,7.00,2.00,23.00
1.00,6.00,37933.00,1.00,6883.00,6.00,13.00,1.00,1.85,5.00,3.00,8.00,9.00,1.00,1.00,2.00,1.00,17.00
1.00,7.00,37935.00,2.00,6885.00,7.00,14.00,1.00,1.40,1.00,4.00,5.00,4.00,1.00,1.00,2.00,0.00,17.00
1.00,8.00,37937.00,2.00,6887.00,8.00,-5.00,1.00,1.78,1.00,2.00,3.00,7.00,2.00,1.00,4.00,3.00,18.00
1.00,9.00,37939.00,2.00,6889.00,9.00,-9.00,1.00,1.48,1.00,4.00,5.00,3.00,0.00,0.00,4.00,3.00,10.00
1.00,10.00,37940.00,1.00,6890.00,10.00,3.00,1.00,1.96,0.00,5.00,5.00,8.00,1.00,2.00,5.00,2.00,22.00
1.00,11.00,37943.00,3.00,6893.00,11.00,8.00,1.00,1.64,2.00,5.00,7.00,8.00,0.00,1.00,3.00,2.00,14.00
1.00,12.00,37944.00,1.00,6894.00,6.00,-11.00,1.00,1.63,2.00,5.00,7.00,8.00,2.00,1.00,4.00,2.00,28.00
1.00,13.00,37946.00,2.00,6896.00,12.00,-14.00,1.00,1.47,2.00,7.00,9.00,2.00,1.00,0.00,1.00,4.00,19.00
1.00,14.00,37947.00,1.00,6897.00,13.00,-9.00,1.00,1.76,2.00,4.00,6.00,4.00,2.00,1.00,3.00,1.00,15.00
1.00,15.00,37951.00,4.00,6901.00,14.00,-10.00,1.00,1.62,2.00,6.00,8.00,9.00,0.00,0.00,4.00,1.00,15.00
1.00,16.00,37953.00,2.00,6903.00,15.00,-4.00,1.00,1.52,0.00,2.00,2.00,7.00,0.00,0.00,4.00,3.00,6.00
1.00,17.00,37954.00,1.00,6904.00,16.00,-7.00,1.00,2.28,2.00,14.00,16.00,7.00,1.00,1.00,8.00,1.00,33.00
1.00,18.00,37957.00,3.00,6907.00,4.00,-12.00,1.00,1.35,3.00,3.00,6.00,5.00,2.00,0.00,2.00,4.00,19.00
1.00,19.00,37958.00,1.00,6908.00,11.00,-10.00,1.00,1.42,4.00,2.00,6.00,8.00,2.00,0.00,5.00,2.00,4.00
1.00,20.00,37961.00,3.00,6911.00,13.00,10.00,1.00,1.50,1.00,5.00,6.00,5.00,2.00,1.00,3.00,2.00,8.00
1.00,21.00,37964.00,3.00,6914.00,17.00,-7.00,1.00,1.54,0.00,5.00,5.00,3.00,1.00,0.00,2.00,2.00,18.00
1.00,22.00,37966.00,2.00,6916.00,15.00,9.00,1.00,1.78,1.00,2.00,3.00,9.00,1.00,1.00,4.00,3.00,23.00
1.00,23.00,37968.00,2.00,6918.00,9.00,-7.00,1.00,1.89,1.00,2.00,3.00,4.00,0.00,0.00,2.00,2.00,37.00
1.00,24.00,37970.00,2.00,6920.00,5.00,-10.00,1.00,1.82,1.00,3.00,4.00,6.00,3.00,3.00,6.00,1.00,27.00
1.00,25.00,37972.00,2.00,6922.00,18.00,-4.00,1.00,1.50,0.00,1.00,1.00,3.00,0.00,0.00,2.00,2.00,17.00
1.00,26.00,37974.00,2.00,6924.00,10.00,7.00,1.00,1.74,1.00,3.00,4.00,5.00,4.00,0.00,4.00,1.00,36.00
1.00,27.00,37975.00,1.00,6925.00,19.00,8.00,1.00,1.74,1.00,5.00,6.00,10.00,2.00,2.00,4.00,2.00,32.00
1.00,28.00,37978.00,3.00,6928.00,14.00,11.00,1.00,1.63,2.00,4.00,6.00,2.00,6.00,1.00,5.00,1.00,22.00
1.00,29.00,37980.00,2.00,6930.00,20.00,-12.00,1.00,1.96,1.00,1.00,2.00,6.00,2.00,1.00,8.00,0.00,34.00
1.00,30.00,37981.00,1.00,6931.00,19.00,-7.00,1.00,1.43,1.00,2.00,3.00,4.00,1.00,2.00,5.00,0.00,18.00
1.00,31.00,37983.00,2.00,6933.00,3.00,12.00,1.00,1.63,3.00,7.00,10.00,9.00,3.00,0.00,5.00,1.00,32.00
1.00,32.00,37985.00,2.00,6935.00,5.00,-3.00,1.00,1.59,2.00,8.00,10.00,4.00,0.00,0.00,4.00,2.00,22.00
1.00,33.00,37988.00,3.00,6938.00,21.00,-15.00,1.00,1.50,1.00,3.00,4.00,9.00,1.00,0.00,3.00,2.00,14.00
1.00,34.00,37992.00,4.00,6942.00,7.00,11.00,1.00,1.73,0.00,4.00,4.00,10.00,1.00,1.00,4.00,1.00,14.00
1.00,35.00,37993.00,1.00,6943.00,17.00,-6.00,1.00,1.59,0.00,2.00,2.00,5.00,0.00,0.00,2.00,3.00,21.00
1.00,36.00,37995.00,2.00,6945.00,9.00,-25.00,1.00,1.76,0.00,3.00,3.00,6.00,3.00,0.00,5.00,1.00,19.00
1.00,37.00,37998.00,3.00,6948.00,22.00,-10.00,1.00,1.52,1.00,4.00,5.00,7.00,1.00,1.00,6.00,3.00,16.00
1.00,38.00,37999.00,1.00,6949.00,23.00,8.00,1.00,1.83,4.00,5.00,9.00,9.00,2.00,0.00,4.00,2.00,27.00
1.00,39.00,38001.00,2.00,6951.00,24.00,-17.00,1.00,1.81,2.00,4.00,6.00,6.00,3.00,0.00,2.00,0.00,29.00
1.00,40.00,38003.00,2.00,6953.00,25.00,6.00,1.00,1.85,1.00,6.00,7.00,2.00,2.00,1.00,4.00,2.00,29.00
1.00,41.00,38006.00,3.00,6956.00,23.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.00,42.00,38008.00,2.00,6958.00,1.00,-6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.00,43.00,38010.00,2.00,6960.00,10.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.00,44.00,38012.00,2.00,6962.00,20.00,1.00,1.00,1.25,0.00,5.00,5.00,3.00,0.00,2.00,3.00,4.00,16.00
1.00,45.00,38014.00,2.00,6964.00,8.00,1.00,1.00,1.85,0.00,5.00,5.00,4.00,2.00,1.00,1.00,1.00,27.00
1.00,46.00,38016.00,2.00,6966.00,26.00,-6.00,1.00,1.55,2.00,6.00,8.00,3.00,1.00,0.00,5.00,5.00,20.00
1.00,47.00,38018.00,2.00,6968.00,6.00,4.00,1.00,1.81,3.00,3.00,6.00,4.00,0.00,2.00,6.00,4.00,38.00
1.00,48.00,38020.00,2.00,6970.00,15.00,3.00,1.00,1.59,1.00,3.00,4.00,6.00,2.00,0.00,1.00,2.00,12.00
1.00,49.00,38021.00,1.00,6971.00,22.00,-5.00,1.00,1.80,0.00,4.00,4.00,4.00,0.00,0.00,0.00,0.00,32.00
1.00,50.00,38023.00,2.00,6973.00,12.00,-11.00,1.00,1.86,1.00,8.00,9.00,5.00,0.00,0.00,3.00,2.00,14.00
